date,core_weekly_return,opportunity_active,opportunity_asset,opportunity_weekly_return,shadow_weekly_return,core_nav,shadow_nav,shadow_peak,shadow_drawdown
2020-08-01,0.07817859268309757,Não,,,0.07817859268309757,1.0781785926830976,1.0781785926830976,1.0781785926830976,0.0
2020-08-08,0.011792010869798641,Não,,,0.011792010869798641,1.0908924863676008,1.0908924863676008,1.0908924863676008,0.0
2020-08-15,0.05033224405665582,Não,,,0.05033224405665582,1.145799553231027,1.145799553231027,1.145799553231027,0.0
2020-08-22,-0.05395965448612394,Não,,,-0.05395965448612394,1.0839726052283256,1.0839726052283256,1.145799553231027,-0.05395965448612394
2020-08-29,-0.0034761182619920117,Não,,,-0.0034761182619920117,1.0802045882597924,1.0802045882597924,1.145799553231027,-0.05724820260774599
2020-09-05,0.016165552933123495,Não,,,0.016165552933123495,1.097666692709909,1.097666692709909,1.145799553231027,-0.04200809852420406
2020-09-12,0.015053267868268216,Não,,,0.015053267868268216,1.1141901634653473,1.1141901634653473,1.145799553231027,-0.02758718981565733
2020-09-19,0.005013431467320695,Não,,,0.005013431467320695,1.1197760794914435,1.1197760794914435,1.145799553231027,-0.022712064833853463
2020-09-26,-0.010411750951511256,Não,,,-0.010411750951511256,1.108117249830319,1.108117249830319,1.145799553231027,-0.03288734342272015
2020-10-03,-0.00424238962429746,Não,,,-0.00424238962429746,1.1034161847071338,1.1034161847071338,1.145799553231027,-0.0369902121225103
2020-10-10,0.01388227945402054,Não,,,0.01388227945402054,1.1187341165373272,1.1187341165373272,1.145799553231027,-0.023621441130238008
2020-10-17,1.005451474833663e-05,Não,,,1.005451474833663e-05,1.1187453648660015,1.1187453648660015,1.145799553231027,-0.023611624117617858
2020-10-24,0.02821172771332936,Não,,,0.02821172771332936,1.1503071044801505,1.1503071044801505,1.1503071044801505,0.0
2020-10-31,-0.0008043802024789715,Não,,,-0.0008043802024789715,1.1493818202185357,1.1493818202185357,1.1503071044801505,-0.0008043802024789715
2020-11-07,0.09946762800902031,Não,,,0.09946762800902031,1.2637081035523636,1.2637081035523636,1.2637081035523636,0.0
2020-11-14,0.07145391494929543,Sim,COTI,0.049589639115250383,0.06926748736589092,1.3540049949043296,1.351241988649351,1.351241988649351,0.0
2020-11-21,0.1813527542118214,Sim,COTI,0.13601108033240994,0.17681858682388027,1.599557529946793,1.590166687539419,1.590166687539419,0.0
2020-11-28,-0.039390307564057814,Sim,COTI,0.13265057303096817,-0.022186219504555217,1.5365504668757841,1.5548869003608379,1.590166687539419,-0.022186219504555238
2020-12-05,0.0961254517739587,Sim,COTI,-0.02820236813778254,0.08369266978278458,1.684252074677706,1.685019536262315,1.685019536262315,0.0
2020-12-12,-0.03291229347079272,Sim,COTI,-0.04940186087727083,-0.03456125021144053,1.628819476117122,1.6267831544583877,1.685019536262315,-0.03456125021144052
2020-12-19,0.21344547745343667,Sim,COTI,0.4798415287811699,0.24008508258621,1.9764836268823978,2.017349522446385,2.017349522446385,0.0
2020-12-26,0.04491964141256455,Sim,COTI,-0.2643584251968504,0.013991834751623057,2.06526656265976,2.0455759436007206,2.0455759436007206,0.0
2021-01-02,0.21124607052728406,Não,,,0.21124607052728406,2.5015460086130252,2.477695823651514,2.477695823651514,0.0
2021-01-09,0.4409659697513584,Sim,SOL,0.741918462624179,0.47106121903864046,3.6046426701787078,3.6448422387477444,3.6448422387477444,0.0
2021-01-16,-0.06635114562651245,Sim,SOL,0.011176836861768402,-0.05859834737768437,3.3654704994381395,3.4312605071047475,3.6448422387477444,-0.05859834737768432
2021-01-23,-0.043818467444925235,Sim,SOL,0.025339450106222516,-0.03690267568981046,3.2180007399216533,3.3046378134038066,3.6448422387477444,-0.09333858725825717
2021-01-30,0.09758360928125853,Sim,SOL,0.15011110443817177,0.10283635879694986,3.532024866792969,3.6444747332769682,3.6448422387477444,-0.00010082891019791429
2021-02-06,0.17842161541496693,Sim,SOL,0.7493276937938957,0.2355122232528598,4.162214449212003,4.5027930802999,4.5027930802999,0.0
2021-02-13,0.1407140827387976,Sim,SOL,0.37321831017447504,0.16396450548236535,4.74789663759504,5.241091321000689,5.241091321000689,0.0
2021-02-20,0.12010440484311635,Sim,SOL,0.24822024411186128,0.13291598876999086,5.318139937510026,5.937716156165314,5.937716156165314,0.0
2021-02-27,-0.2037343597534762,Sim,SOL,0.18302059297313766,-0.16505886448081483,4.234652102262029,4.957643469819278,5.937716156165314,-0.16505886448081497
2021-03-06,0.09642268025747103,Sim,SOL,-0.07623064240711286,0.07915734799101265,4.642968607920068,5.350077379175134,5.937716156165314,-0.09896713846451155
2021-03-13,0.20673660148088202,Sim,SOL,0.15955285362569405,0.20201822669536323,5.602840158703884,6.430890523999071,6.430890523999071,0.0
2021-03-20,-0.05545248369017508,Sim,SOL,-0.02710056894703572,-0.052617292215861144,5.292148756184699,6.092514478089599,6.430890523999071,-0.0526172922158612
2021-03-27,-0.04550546816709922,Sim,SOL,0.043527700087578,-0.0366021513416315,5.051327049424582,5.869515341111482,6.430890523999071,-0.08729353746462087
2021-04-03,0.09572903445686087,Sim,SOL,0.3367963668604612,0.11983576769722092,5.534885710591822,6.572893218024191,6.572893218024191,0.0
2021-04-10,0.055195200119417365,Sim,SOL,0.3983585890548975,0.08951153901296538,5.840384835026041,7.161243005737418,7.161243005737418,0.0
2021-04-17,0.046952851544902696,Sim,SOL,-0.08424513204486694,0.033833053185925735,6.11460755715012,7.403529721227871,7.403529721227871,0.0
2021-04-24,-0.10042638026696449,Sim,SOL,0.4748108142302492,-0.04290266081724312,5.500539653432507,7.085898596747653,7.403529721227871,-0.04290266081724314
2021-05-01,0.2169524436500827,Sim,SOL,0.145875373306382,0.20984473661571262,6.693895172638869,8.572837121467812,8.572837121467812,0.0
2021-05-08,0.03643181135663065,Não,,,0.03643181135663065,6.937765898809508,8.885161106268248,8.885161106268248,0.0
2021-05-15,-0.02921984161204838,Não,,,-0.02921984161204838,6.735045478104824,8.625538106045557,8.885161106268248,-0.02921984161204838
2021-05-22,-0.0640948620086158,Não,,,-0.0640948620086158,6.303363667563943,8.072685431388509,8.885161106268248,-0.09144186190462644
2021-05-29,-0.0058165277764018475,Não,,,-0.0058165277764018475,6.266699977706795,8.025730432346682,8.885161106268248,-0.09672651555133416
2021-06-05,0.021063181399146647,Não,,,0.021063181399146647,6.398696616111261,8.194777848303852,8.885161106268248,-0.07770070229535264
2021-06-12,0.0,Não,,,0.0,6.398696616111261,8.194777848303852,8.885161106268248,-0.07770070229535264
2021-06-19,0.0,Não,,,0.0,6.398696616111261,8.194777848303852,8.885161106268248,-0.07770070229535264
2021-06-26,0.0,Não,,,0.0,6.398696616111261,8.194777848303852,8.885161106268248,-0.07770070229535264
2021-07-03,0.0,Não,,,0.0,6.398696616111261,8.194777848303852,8.885161106268248,-0.07770070229535264
2021-07-10,0.0,Não,,,0.0,6.398696616111261,8.194777848303852,8.885161106268248,-0.07770070229535264
2021-07-17,0.0,Não,,,0.0,6.398696616111261,8.194777848303852,8.885161106268248,-0.07770070229535264
2021-07-24,0.0,Não,,,0.0,6.398696616111261,8.194777848303852,8.885161106268248,-0.07770070229535264
2021-07-31,0.0,Não,,,0.0,6.398696616111261,8.194777848303852,8.885161106268248,-0.07770070229535264
2021-08-07,0.16065920904626196,Não,,,0.16065920904626196,7.426706153382689,9.511344375722178,9.511344375722178,0.0
2021-08-14,0.04339503720811466,Sim,SNX,0.18655773762765127,0.05771130725006832,7.748988343242465,10.06025649335069,10.06025649335069,0.0
2021-08-21,0.010967930626302191,Sim,SNX,0.041005291005290934,0.013971666664201066,7.833978709815173,10.200815043632153,10.200815043632153,0.0
2021-08-28,0.004116139818312936,Sim,SNX,-0.02835133418043212,0.0008693924184384303,7.866224461518459,10.20968355489298,10.20968355489298,0.0
2021-09-04,0.10959749169947064,Sim,SNX,0.017817736003269413,0.10041951612985052,8.728342931645901,11.234935037314225,11.234935037314225,0.0
2021-09-11,-0.1281375828669976,Sim,SNX,-0.15285955191520106,-0.13060977977181795,7.609914165950552,9.767542646339932,11.234935037314225,-0.1306097797718181
2021-09-18,0.060327599695009004,Não,,,0.060327599695009004,8.069002021467394,10.356795049112256,11.234935037314225,-0.07816155458713658
2021-09-25,-0.13280792875957315,Sim,SHIB,-0.12646682464454995,-0.13217381834807085,6.997374575839501,8.987897901622693,11.234935037314225,-0.2000044618174044
2021-10-02,0.04835739112272819,Sim,SHIB,0.042317073170731856,0.04775335932752856,7.335749355035606,9.417100219718021,11.234935037314225,-0.16180198742215135
2021-10-09,0.02244070847644597,Não,,,0.02244070847644597,7.5003687677682365,9.62842662044219,11.234935037314225,-0.14299223017635543
2021-10-16,0.02108601379237074,Não,,,0.02108601379237074,7.658521647053265,9.831451756959662,11.234935037314225,-0.12492135252168513
2021-10-23,0.011414985305182368,Não,,,0.011414985305182368,7.745943559113798,9.943677634293966,11.234935037314225,-0.11493234261984142
2021-10-30,0.006016838161635896,Não,,,0.006016838161635896,7.792549647918152,10.003507133350992,11.234935037314225,-0.10960703376328673
2021-11-06,0.025221668149609577,Não,,,0.025221668149609577,7.989090749177301,10.255812270600622,11.234935037314225,-0.08714983784611785
2021-11-13,0.03739959666361048,Sim,COS,0.10010027726432535,0.04366966472368197,8.287879520905513,10.703680153926776,11.234935037314225,-0.047285977321898987
2021-11-20,-0.06110218853047056,Sim,COS,-0.1535958875367185,-0.07035155843109535,7.781471943901318,9.950659574150041,11.234935037314225,-0.11431089355646129
2021-11-27,-0.07750641127355073,Não,,,-0.07750641127355073,7.178357979103706,9.179419660752872,11.234935037314225,-0.18295747770097792
2021-12-04,0.05942767277927352,Sim,KMD,0.10140391821333883,0.06362529732268006,7.6049510881783675,9.76346296591793,11.234935037314225,-0.1309729042944301
2021-12-11,-0.0001897633770481244,Não,,,-0.0001897633770481244,7.603507946977589,9.761610218213832,11.234935037314225,-0.13113781381085754
2021-12-18,-0.00746917686585602,Não,,,-0.00746917686585602,7.5467160013206716,9.688699024998446,11.234935037314225,-0.13762749915155859
2021-12-25,0.009479184496321347,Não,,,0.009479184496321347,7.618252714638531,9.780539990585735,11.234935037314225,-0.12945291111146207
2022-01-01,-0.011212437159012545,Não,,,-0.011212437159012545,7.532833534814169,9.670876300560083,11.234935037314225,-0.13921386563958615
2022-01-08,-0.03151791420939121,Não,,,-0.03151791420939121,7.295414333710271,9.366070450989396,11.234935037314225,-0.16634404917499124
2022-01-15,0.009965113094537958,Não,,,0.009965113094537958,7.368113962617207,9.459404402284916,11.234935037314225,-0.1580365733430854
2022-01-22,-0.04289550446648327,Não,,,-0.04289550446648327,7.052054997224203,9.053638478496431,11.234935037314225,-0.19415301927186268
2022-01-29,0.01258154701075509,Não,,,0.01258154701075509,7.140780758694209,9.167547256632016,11.234935037314225,-0.1840142176003564
2022-02-05,0.002956898796774743,Não,,,0.002956898796774743,7.161895324727625,9.194654766084527,11.234935037314225,-0.18160143022219366
2022-02-12,0.0,Não,,,0.0,7.161895324727625,9.194654766084527,11.234935037314225,-0.18160143022219366
2022-02-19,0.0,Não,,,0.0,7.161895324727625,9.194654766084527,11.234935037314225,-0.18160143022219366
2022-02-26,0.0,Não,,,0.0,7.161895324727625,9.194654766084527,11.234935037314225,-0.18160143022219366
2022-03-05,-0.06836333576344522,Não,,,-0.06836333576344522,6.672284269940621,8.566077495081728,11.234935037314225,-0.2375498864362372
2022-03-12,-0.027794834465588725,Sim,WIN,-0.1478480788177341,-0.03980015890080326,6.48682923315027,8.225146249620881,11.234935037314225,-0.26789552211001044
2022-03-19,0.10255351985335803,Sim,JUV,0.009089899999999984,0.09320715786802224,7.15207640369749,8.991788754596865,11.234935037314225,-0.19965814446343222
2022-03-26,0.05341605727827292,Sim,1INCH,-0.010436397984886825,0.04703081175195695,7.534112126535979,9.414679878827673,11.234935037314225,-0.16201741731847996
2022-04-02,0.05854634742246145,Sim,1INCH,0.19834710743801653,0.07252642342401697,7.975206872615935,10.097492938121103,11.234935037314225,-0.10124153770496869
2022-04-09,-0.04822910360228516,Sim,1INCH,-0.1642318302387269,-0.05982937626592934,7.590569794106885,9.493366233783691,11.234935037314225,-0.15501369591780623
2022-04-16,-0.045984421528555086,Não,,,-0.045984421528555086,7.241521833052756,9.056819279164431,11.234935037314225,-0.19386990231057755
2022-04-23,-0.03323280575449794,Não,,,-0.03323280575449794,7.0008657446079585,8.755835763306367,11.234935037314225,-0.22065986725994458
2022-04-30,-0.05811624666736526,Sim,TRX,-0.04575520000000011,-0.05688014200062875,6.594001704109215,8.257802581755318,11.234935037314225,-0.2649888446769878
2022-05-07,-0.0010000000000000009,Não,,,-0.0010000000000000009,6.587407702405105,8.249544779173561,11.234935037314225,-0.26572385583231084
2022-05-14,0.0,Não,,,0.0,6.587407702405105,8.249544779173561,11.234935037314225,-0.26572385583231084
2022-05-21,0.0,Não,,,0.0,6.587407702405105,8.249544779173561,11.234935037314225,-0.26572385583231084
2022-05-28,0.0,Não,,,0.0,6.587407702405105,8.249544779173561,11.234935037314225,-0.26572385583231084
2022-06-04,0.0,Não,,,0.0,6.587407702405105,8.249544779173561,11.234935037314225,-0.26572385583231084
2022-06-11,0.0,Não,,,0.0,6.587407702405105,8.249544779173561,11.234935037314225,-0.26572385583231084
2022-06-18,0.0,Não,,,0.0,6.587407702405105,8.249544779173561,11.234935037314225,-0.26572385583231084
2022-06-25,0.0,Não,,,0.0,6.587407702405105,8.249544779173561,11.234935037314225,-0.26572385583231084
2022-07-02,0.0,Não,,,0.0,6.587407702405105,8.249544779173561,11.234935037314225,-0.26572385583231084
2022-07-09,0.0,Não,,,0.0,6.587407702405105,8.249544779173561,11.234935037314225,-0.26572385583231084
2022-07-16,0.0,Não,,,0.0,6.587407702405105,8.249544779173561,11.234935037314225,-0.26572385583231084
2022-07-23,0.0,Não,,,0.0,6.587407702405105,8.249544779173561,11.234935037314225,-0.26572385583231084
2022-07-30,0.0,Não,,,0.0,6.587407702405105,8.249544779173561,11.234935037314225,-0.26572385583231084
2022-08-06,0.017709308177997762,Não,,,0.017709308177997762,6.7040661355011135,8.395638509996138,11.234935037314225,-0.25272033330749344
2022-08-13,0.05790127223158881,Sim,OGN,0.029166739606126812,0.05502781896904261,7.0922400938713395,8.857632186053728,11.234935037314225,-0.21159916308949167
2022-08-20,-0.12938094093607133,Sim,OGN,-0.21107009345794392,-0.1375498561882586,6.174639397181735,7.639266152693546,11.234935037314225,-0.3200435848252349
2022-08-27,-0.03542799475820113,Não,,,-0.03542799475820113,5.955884304984598,7.368622271479416,11.234935037314225,-0.3441330771378517
2022-09-03,0.00597745852407594,Não,,,0.00597745852407594,5.991485356391838,7.412667905486766,11.234935037314225,-0.34021265980912985
2022-09-10,0.0,Não,,,0.0,5.991485356391838,7.412667905486766,11.234935037314225,-0.34021265980912985
2022-09-17,0.0,Não,,,0.0,5.991485356391838,7.412667905486766,11.234935037314225,-0.34021265980912985
2022-09-24,0.0,Não,,,0.0,5.991485356391838,7.412667905486766,11.234935037314225,-0.34021265980912985
2022-10-01,-0.009603797697708805,Não,,,-0.009603797697708805,5.933944343120266,7.341478142522172,11.234935037314225,-0.34654912394783244
2022-10-08,0.019713367207174315,Sim,API3,0.05141854789505795,0.02288388527596268,6.05092236694313,7.5094796860916375,11.234935037314225,-0.3315956290667773
2022-10-15,-0.030802118901839926,Sim,API3,-0.11161391304347834,-0.03888329831600377,5.864541136730745,7.217486347259366,11.234935037314225,-0.3575853956174946
2022-10-22,0.0013853725319994403,Não,,,0.0013853725319994403,5.872665710934353,7.22748525459494,11.234935037314225,-0.35669541207042776
2022-10-29,0.09917812267771264,Sim,NEXO,0.1223470522803114,0.10149501563797253,6.455105671258597,7.96103898353327,11.234935037314225,-0.2914032028585364
2022-11-05,-0.002164078528366087,Sim,NEXO,0.018782178217821688,-6.945285374730919e-05,6.441136315677092,7.9604860666570705,11.234935037314225,-0.29145241692825397
2022-11-12,0.0,Não,,,0.0,6.441136315677092,7.9604860666570705,11.234935037314225,-0.29145241692825397
2022-11-19,0.0,Não,,,0.0,6.441136315677092,7.9604860666570705,11.234935037314225,-0.29145241692825397
2022-11-26,0.0,Não,,,0.0,6.441136315677092,7.9604860666570705,11.234935037314225,-0.29145241692825397
2022-12-03,0.0,Não,,,0.0,6.441136315677092,7.9604860666570705,11.234935037314225,-0.29145241692825397
2022-12-10,0.0,Não,,,0.0,6.441136315677092,7.9604860666570705,11.234935037314225,-0.29145241692825397
2022-12-17,0.0,Não,,,0.0,6.441136315677092,7.9604860666570705,11.234935037314225,-0.29145241692825397
2022-12-24,0.0,Não,,,0.0,6.441136315677092,7.9604860666570705,11.234935037314225,-0.29145241692825397
2022-12-31,0.0,Não,,,0.0,6.441136315677092,7.9604860666570705,11.234935037314225,-0.29145241692825397
2023-01-07,0.05571021069854787,Não,,,0.05571021069854787,6.799973376961531,8.40396642269339,11.234935037314225,-0.2519790817853802
2023-01-14,0.20330993758293614,Sim,SFP,0.11494432071269478,0.19447337589591202,8.182475539797208,10.038314143830465,11.234935037314225,-0.10650892857942307
2023-01-21,0.04606037434385013,Sim,SFP,-0.011529933481153054,0.04030134356134981,8.559363426219665,10.442871690917734,11.234935037314225,-0.07050003794110393
2023-01-28,-0.0015211754683951417,Sim,SFP,0.12471960520412728,0.011102902598857102,8.546343132550621,10.558817878154356,11.234935037314225,-0.06017989039672267
2023-02-04,0.05469491442189711,Sim,SFP,0.17491025129637028,0.06671644810934443,9.013784638805646,11.26326470321826,11.26326470321826,0.0
2023-02-11,-0.058406143794735854,Sim,SFP,-0.2014444067221185,-0.07270997008747412,8.487324237056782,10.444313063559957,11.26326470321826,-0.07270997008747415
2023-02-18,0.10519619142359238,Não,,,0.10519619142359238,9.380158422172302,11.543015019882136,11.543015019882136,0.0
2023-02-25,-0.07359906493083346,Não,,,-0.07359906493083346,8.689787533397338,10.693459907936244,11.543015019882136,-0.07359906493083346
2023-03-04,-0.03734336692508777,Não,,,-0.03734336692508777,8.365281609036627,10.294130110895466,11.543015019882136,-0.10819399496886573
2023-03-11,-0.0724840556760723,Não,,,-0.0724840556760723,7.758932071141192,9.547969810800588,11.543015019882136,-0.172835711089798
2023-03-18,0.2540391545350984,Não,,,0.2540391545350984,9.730004614589161,11.973527989063012,11.973527989063012,0.0
2023-03-25,0.005949816498646454,Sim,OCEAN,-0.17188146799531068,-0.01183331195074926,9.78789635657695,11.831841497217402,11.973527989063012,-0.011833311950749215
2023-04-01,0.02455480804810728,Sim,DASH,-0.050317310815199745,0.017067596161776576,10.028236272807465,12.033782589742058,12.033782589742058,0.0
2023-04-08,-0.01686683715989068,Sim,DASH,-0.04400444140758453,-0.019580597584660065,9.859091644593112,11.798153935431031,12.033782589742058,-0.01958059758466002
2023-04-15,0.1085124986943149,Sim,OCEAN,0.18068687430478314,0.11572993625536172,10.928926313804153,13.16355353830941,13.16355353830941,0.0
2023-04-22,-0.1015846723035082,Sim,OCEAN,-0.13451341176470577,-0.10487754624962797,9.81871491558717,11.78299234328591,13.16355353830941,-0.10487754624962797
2023-04-29,0.015934517164894135,Não,,,0.015934517164894135,9.975171396946797,11.970748637033816,13.16355353830941,-0.09061420214566052
2023-05-06,-0.02848782137241168,Não,,,-0.02848782137241168,9.691000496031386,11.629728088167957,13.16355353830941,-0.11652062231354299
2023-05-13,-0.053549923162721,Sim,STG,-0.213092493666027,-0.0695041802130516,9.172048164099014,10.821413371299142,13.16355353830941,-0.17792613219477726
2023-05-20,0.00854454360054624,Não,,,0.00854454360054624,9.250419129543468,10.913877409669741,13.16355353830941,-0.17090188618844582
2023-05-27,-0.004386675804508577,Sim,CELR,-0.08673493396226417,-0.012621501620284137,9.209840539766336,10.776127888260012,13.16355353830941,-0.18136634937529295
2023-06-03,0.011695073024015734,Sim,AGLD,0.07332183018867933,0.017857748740482095,9.317550297418444,10.968565272483861,13.16355353830941,-0.16674739533193328
2023-06-10,-0.012007855487944363,Não,,,-0.012007855487944363,9.20566649994539,10.83685632578179,13.16355353830941,-0.17675297219374064
2023-06-17,0.001229073867364372,Não,,,0.001229073867364372,9.216980944072144,10.85017562269619,13.16355353830941,-0.17574114078547864
2023-06-24,0.022830989134388302,Não,,,0.022830989134388302,9.427413735858119,11.09789586444417,13.16355353830941,-0.1569224957268287
